Numeration;Evaluation_unit;Transect;Cover;Date;Family;Genus;Species_individual;Reference_altitude;UTM_zone;Easting_coord;Northing_coord;Altitude
16;TAM-18;SO;medium;6/11/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;24;19L;418408;8394638;4401
17;TAM-18;SO;medium;6/11/2024;Poaceae;Nassella;Nassella_mexicana;20;19L;418111;8394653;4400
18;TAM-18;SO;medium;6/11/2024;Cyperaceae;Carex;Carex_mandoniana;8;19L;418407;8394639;4402
19;CHAL-01;SE;low;6/13/2024;Poaceae;Festuca;Festuca_peruviana;30;19L;412993;8389123;4513
20;CHAL-01;SE;low;6/13/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;10;19L;412994;8389126;4523
21;CHAL-01;SE;low;6/13/2024;Poaceae;Cinnagrostis;Cinnagrostis_minima;12;19L;413012;8389120;4512
22;CHAL-01;SE;low;6/13/2024;Rosaceae;Alchemilla;Alchemilla_pinnata;2;19L;412994;8389126;4526
23;CHAL-01;SE;low;6/13/2024;Poaceae;Muhlenbergia;Muhlenbergia_peruviana;2;19L;412994;8389119;4517
24;CHAL-01;NO;low;6/13/2024;Poaceae;Festuca;Festuca_peruviana;30;19L;412980;8389130;4527
25;CHAL-01;NO;low;6/13/2024;Poaceae;Cinnagrostis;Cinnagrostis_minima;10;19L;412977;8389132;4522
26;CHAL-01;NO;low;6/13/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;19;19L;412976;8389136;4519
27;CHAL-01;NO;low;6/13/2024;Poaceae;Muhlenbergia;Muhlenbergia_peruviana;12;19L;412977;8389137;4525
28;CHAL-01;NO;low;6/13/2024;Rosaceae;Alchemilla;Alchemilla_pinnata;2;19L;412975;8389142;4525
29;CHAL-01;SO;low;6/13/2024;Poaceae;Festuca;Festuca_peruviana;34;19L;412965;8389114;4528
30;CHAL-01;SO;low;6/13/2024;Rosaceae;Alchemilla;Alchemilla_pinnata;2;19L;412961;8389115;4520
31;CHAL-01;SO;low;6/13/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;24;19L;412965;8389112;4522
32;CHAL-01;SO;low;6/13/2024;Poaceae;Cinnagrostis;Cinnagrostis_minima;4;19L;412964;8389115;4524
33;CHAL-01;SO;low;6/13/2024;Poaceae;Poa;Poa_macusaniensis;4;19L;412967;8389131;4525
34;CHAL-03;NO;low;6/16/2024;Poaceae;Festuca;Festuca_peruviana;21;19L;414483;8390147;4544
35;CHAL-03;NO;low;6/16/2024;Cyperaceae;Trichophorum;Trichophorum_rigidum;11;19L;414482;8390146;4545
36;CHAL-03;NO;low;6/16/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;16;19L;414483;8390142;4546
37;CHAL-03;NO;low;6/16/2024;Poaceae;Poa;Poa_macusaniensis;1;19L;414481;8390148;4546
38;CHAL-03;NO;low;6/16/2024;Juncaceae;Luzula;Luzula_racemosa;9;19L;414486;8390153;4545
39;CHAL-03;SE;low;6/16/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;9;19L;414484;8390128;4545
40;CHAL-03;SE;low;6/16/2024;Cyperaceae;Trichophorum;Trichophorum_rigidum;13;19L;414503;8390119;4546
41;CHAL-03;SE;low;6/16/2024;Juncaceae;Luzula;Luzula_racemosa;2;19L;414489;8390125;4544
42;CHAL-03;SE;low;6/16/2024;Poaceae;Poa;Poa_macusaniensis;3;19L;414494;8390121;4546
43;CHAL-03;SE;low;6/16/2024;Poaceae;Festuca;Festuca_peruviana;11;19L;414505;8390119;4547
44;CHAL-03;SO;low;6/16/2024;Cyperaceae;Trichophorum;Trichophorum_rigidum;18;19L;414468;8390118;4542
45;CHAL-03;SO;low;6/16/2024;Poaceae;Festuca;Festuca_peruviana;15;19L;414455;8390113;4543
46;CHAL-03;SO;low;6/16/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;8;19L;414469;8390111;4543
47;CHAL-03;SO;low;6/16/2024;Poaceae;Cinnagrostis;Cinnagrostis_minima;4.5;19L;414479;8390121;4544
48;CHAL-04;NO;medium;6/17/2024;Poaceae;Festuca;Festuca_peruviana;52;19L;414968;8390160;4588
49;CHAL-04;NO;medium;6/17/2024;Poaceae;Cinnagrostis;Cinnagrostis_curvula;17;19L;414971;8390135;4589
50;CHAL-04;NO;medium;6/17/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;17;19L;414972;8390133;4590
51;CHAL-04;NO;medium;6/17/2024;Cyperaceae;Trichophorum;Trichophorum_rigidum;14;19L;414974;8390139;4588
52;CHAL-04;NO;medium;6/17/2024;Poaceae;Cinnagrostis;Cinnagrostis_minima;3;19L;414971;8390133;4588
53;CHAL-04;SE;medium;6/17/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;18;19L;414984;8390123;4590
54;CHAL-04;SE;medium;6/17/2024;Poaceae;Festuca;Festuca_peruviana;13;19L;414977;8390129;4590
55;CHAL-04;SE;medium;6/17/2024;Poaceae;Cinnagrostis;Cinnagrostis_minima;3.5;19L;414997;8390117;4595
56;CHAL-04;SE;medium;6/17/2024;Cyperaceae;Trichophorum;Trichophorum_rigidum;12;19L;415074;8390121;4594
57;CHAL-04;SE;medium;6/17/2024;Juncaceae;Luzula;Luzula_racemosa;5;19L;414990;8390121;4591
58;CHAL-04;SO;medium;6/17/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;20;19L;414953;8390110;4588
59;CHAL-04;SO;medium;6/17/2024;Poaceae;Festuca;Festuca_peruviana;14;19L;414972;8390126;4589
60;CHAL-04;SO;medium;6/17/2024;Cyperaceae;Trichophorum;Trichophorum_rigidum;12;19L;414953;8390112;4588
61;CHAL-04;SO;medium;6/17/2024;Poaceae;Cinnagrostis;Cinnagrostis_minima;3;19L;414965;8390120;4588
62;CHAL-04;SO;medium;6/17/2024;Juncaceae;Luzula;Luzula_racemosa;5;19L;414969;8390124;4589
63;CHAL-08;NO;low;6/19/2024;Cyperaceae;Trichophorum;Trichophorum_rigidum;17;19L;415461;8390615;4672
64;CHAL-08;NO;low;6/19/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;18;19L;415474;8390627;4673
65;CHAL-08;NO;low;6/19/2024;Poaceae;Festuca;Festuca_peruviana;37;19L;415467;8390625;4672
66;CHAL-08;NO;low;6/19/2024;;;Poa_perguliata;6;19L;415475;8390628;4673
67;CHAL-08;NO;low;6/19/2024;Poaceae;Cinnagrostis;Cinnagrostis_minima;2;19L;415472;8390624;4673
68;CHAL-08;SE;low;6/19/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;18;19L;415502;8390623;4574
69;CHAL-08;SE;low;6/19/2024;Poaceae;Festuca;Festuca_peruviana;37;19L;415501;8390621;4675
70;CHAL-08;SE;low;6/19/2024;Cyperaceae;Trichophorum;Trichophorum_rigidum;16;19L;415487;8390624;4677
71;CHAL-08;SE;low;6/19/2024;;;Poa_perguliata;6;19L;415501;8390622;4676
72;CHAL-08;SE;low;6/19/2024;Poaceae;Cinnagrostis;Cinnagrostis_minima;4;19L;415507;8390624;4676
73;CHAL-08;SO;low;6/19/2024;Cyperaceae;Trichophorum;Trichophorum_rigidum;17;19L;415461;8390615;4672
74;CHAL-08;SO;low;6/19/2024;Poaceae;Cinnagrostis;Cinnagrostis_sp;29;19L;415474;8390627;4673
75;CHAL-08;SO;low;6/19/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;13;19L;415467;8390625;4672
76;CHAL-08;SO;low;6/19/2024;Poaceae;Festuca;Festuca_peruviana;14;19L;415475;8390628;4673
77;CHAL-08;SO;low;6/19/2024;Poaceae;Cinnagrostis;Cinnagrostis_minima;2;19L;415472;8390624;4673
78;CHAL-10;NO;medium;6/18/2024;Cyperaceae;Trichophorum;Trichophorum_rigidum;14;19L;415496;8390207;4652
79;CHAL-10;NO;medium;6/18/2024;Poaceae;Festuca;Festuca_peruviana;19;19L;415498;8390178;4651
80;CHAL-10;NO;medium;6/18/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;19;19L;415502;8390175;4652
81;CHAL-10;SE;medium;6/18/2024;Poaceae;Festuca;Festuca_peruviana;20;19L;415531;8390159;4659
82;CHAL-10;SE;medium;6/18/2024;Cyperaceae;Trichophorum;Trichophorum_rigidum;13;19L;415519;8390159;4658
83;CHAL-10;SE;medium;6/18/2024;Poaceae;Cinnagrostis;Cinnagrostis_curvula;16;19L;415506;8390170;4653
84;CHAL-10;SE;medium;6/18/2024;Poaceae;Cinnagrostis;Cinnagrostis_minima;4;19L;415504;8390160;4653
85;CHAL-10;SE;medium;6/18/2024;Poaceae;Cinnagrostis;Cinnagrostis_sp;48;19L;415508;8390166;4655
86;CHAL-10;SO;medium;6/18/2024;Poaceae;Festuca;Festuca_peruviana;19;19L;415497;8390169;4651
87;CHAL-10;SO;medium;6/18/2024;Cyperaceae;Trichophorum;Trichophorum_rigidum;13;19L;415497;8390152;4648
88;CHAL-10;SO;medium;6/18/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;17;19L;415482;8390170;4670
89;CHAL-10;SO;medium;6/18/2024;Poaceae;Cinnagrostis;Cinnagrostis_sp;41;19L;415483;8390160;4649
90;TAM-15;SO;medium;6/12/2024;Poaceae;Festuca;Festuca_peruviana;61;19L;417880;8394134;4483
91;TAM-15;SO;medium;6/12/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;6;19L;417874;8394126;4469
92;TAM-15;SO;medium;6/12/2024;Rosaceae;Alchemilla;Alchemilla_pinnata;5;19L;417894;8394147;4470
93;TAM-15;SO;medium;6/12/2024;Poaceae;Cinnagrostis;Cinnagrostis_curvula;22;19L;417873;8394127;4470
94;TAM-15;SO;medium;6/12/2024;Poaceae;Poa;Poa_macusaniensis;3;19L;417893;8394142;4460
95;TAM-15;NO;medium;6/12/2024;Poaceae;Festuca;Festuca_peruviana;76;19L;417884;8394154;4450
96;TAM-17;NO;high;6/14/2024;Poaceae;Festuca;Festuca_peruviana;54;19L;417367;8394650;4474
97;TAM-17;NO;high;6/14/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;29;19L;417371;8394644;4475
98;TAM-17;NO;high;6/14/2024;Cyperaceae;Carex;Carex_mandoniana;4;19L;417367;8394650;4474
99;TAM-17;NO;high;6/14/2024;Rosaceae;Alchemilla;Alchemilla_pinnata;3;19L;417364;8394655;4475
100;TAM-17;SE;high;6/14/2024;Poaceae;Festuca;Festuca_peruviana;40;19L;417394;8394641;4467
101;TAM-17;SE;high;6/14/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;43;19L;417394;8394642;4467
102;TAM-17;SE;high;6/14/2024;Rosaceae;Alchemilla;Alchemilla_pinnata;3;19L;417382;8394645;4465
103;TAM-17;SE;high;6/14/2024;Cyperaceae;Carex;Carex_mandoniana;6;19L;417382;8394642;4466
104;TAM-17;SE;high;6/14/2024;Poaceae;Poa;Poa_spicigera;35;19L;417388;8394640;4479
105;CHAL-06;SE;high;6/20/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;17;19L;413936;8389974;4512
106;CHAL-06;SE;high;6/20/2024;Poaceae;Festuca;Festuca_peruviana;36;19L;413924;8389975;4511
107;CHAL-06;SE;high;6/20/2024;Rosaceae;Alchemilla;Alchemilla_pinnata;2;19L;413936;8389975;4513
108;CHAL-06;SE;high;6/20/2024;Juncaceae;Luzula;Luzula_racemosa;7;19L;413925;8389978;4514
109;CHAL-06;SE;high;6/20/2024;;;Poa_perguliata;6;19L;411393;8389975;4518
110;TAM-15;SE;medium;6/12/2024;Poaceae;Festuca;Festuca_peruviana;39;19L;417116;8394128;4461
111;TAM-15;SE;medium;6/12/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;10;19L;417908;8394131;4467
112;TAM-15;SE;medium;6/12/2024;Fabaceae;Trifolium;Trifolium_amabile;4;19L;417888;8394142;4463
113;TAM-15;SE;medium;6/12/2024;Rosaceae;Alchemilla;Alchemilla_pinnata;4;19L;417894;8399413;4463
114;CHAL-06;SO;high;6/20/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;27;19L;413891;8389965;4557
115;CHAL-06;SO;high;6/20/2024;Poaceae;Festuca;Festuca_peruviana;30;19L;413888;8389964;4557
116;CHAL-06;SO;high;6/20/2024;Rosaceae;Alchemilla;Alchemilla_pinnata;2;19L;413900;8389974;4504
117;CHAL-06;SO;high;6/20/2024;;;Poa_perguliata;15;19L;413886;8389963;4504
118;CHAL-06;SO;high;6/20/2024;;;Carex_sp2;5;19L;413899;8389973;4509
119;CHAL-06;NO;high;6/20/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;19;19L;413902;8390006;4509
120;CHAL-06;NO;high;6/20/2024;Poaceae;Festuca;Festuca_peruviana;32;19L;413910;8390000;4511
121;CHAL-06;NO;high;6/20/2024;Rosaceae;Alchemilla;Alchemilla_pinnata;3;19L;413906;8390006;4511
122;CHAL-06;NO;high;6/20/2024;;;Poa_perguliata;15;19L;413911;8389985;4511
123;CHAL-06;NO;high;6/20/2024;;;Carex_sp2;4;19L;413909;8389977;4511
124;CHAL-07;NO;medium;6/15/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;35;19L;414465;8390562;4568
125;CHAL-07;NO;medium;6/15/2024;Poaceae;Festuca;Festuca_peruviana;21;19L;414459;8390586;4560
126;CHAL-07;NO;medium;6/15/2024;Poaceae;Cinnagrostis;Cinnagrostis_minima;3;19L;414459;8390585;4570
127;CHAL-07;NO;medium;6/15/2024;Juncaceae;Luzula;Luzula_racemosa;5;19L;414459;8390588;4571
128;CHAL-07;NO;medium;6/15/2024;Rosaceae;Alchemilla;Alchemilla_pinnata;1;19L;414459;8390587;4560
129;TAM-17;SO;high;6/14/2024;Poaceae;Festuca;Festuca_peruviana;52;19L;417355;8394647;4491
130;TAM-17;SO;high;6/14/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;44;19L;417355;8394647;4487
131;TAM-17;SO;high;6/14/2024;Cyperaceae;Carex;Carex_mandoniana;3;19L;417357;8394646;4486
132;TAM-17;SO;high;6/14/2024;Poaceae;Poa;Poa_spicigera;10;19L;417355;8394642;4484
133;TAM-17;SO;high;6/14/2024;Rosaceae;Alchemilla;Alchemilla_pinnata;2;19L;417356;8394646;4481
134;CHAL-07;SE;medium;6/15/2024;Poaceae;Festuca;Festuca_peruviana;15;19L;414479;8390569;4557
135;CHAL-07;SE;medium;6/15/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;18;19L;414466;8390577;4568
136;CHAL-07;SE;medium;6/15/2024;Rosaceae;Alchemilla;Alchemilla_pinnata;1;19L;414471;8390575;4569
137;CHAL-07;SE;medium;6/15/2024;Poaceae;Cinnagrostis;Cinnagrostis_minima;3;19L;414465;8390578;4567
138;CHAL-07;SE;medium;6/15/2024;Juncaceae;Luzula;Luzula_racemosa;10;19L;414477;8390573;4568
139;CHAL-07;SO;medium;6/15/2024;Poaceae;Festuca;Festuca_peruviana;32;19L;414442;8390566;4567
140;CHAL-07;SO;medium;6/15/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;16;19L;414443;8390570;4563
141;CHAL-07;SO;medium;6/15/2024;Rosaceae;Alchemilla;Alchemilla_pinnata;1;19L;414444;8390567;4565
142;CHAL-07;SO;medium;6/15/2024;Poaceae;Cinnagrostis;Cinnagrostis_minima;4;19L;414435;8390562;4562
143;CHAL-07;SO;medium;6/15/2024;Juncaceae;Luzula;Luzula_racemosa;15;19L;414435;8390560;4557
